t,x,y,z,vx,vy,vz
0.730,-0.300,7.454,-7.081,0.000,3.218,17.301,1.571,0.184
0.740,-0.300,7.486,-6.908,0.000,3.116,17.277,1.571,0.178
0.750,-0.300,7.516,-6.735,0.000,3.014,17.253,1.571,0.173
0.760,-0.300,7.545,-6.563,0.000,2.912,17.229,1.571,0.167
0.770,-0.300,7.573,-6.391,0.000,2.810,17.205,1.571,0.162
0.780,-0.300,7.600,-6.219,0.000,2.708,17.182,1.571,0.156
0.790,-0.300,7.626,-6.048,0.000,2.606,17.158,1.571,0.151
0.800,-0.300,7.651,-5.876,0.000,2.505,17.134,1.571,0.145
0.810,-0.300,7.675,-5.705,0.000,2.404,17.111,1.571,0.140
0.820,-0.300,7.698,-5.534,0.000,2.303,17.087,1.571,0.134
0.830,-0.300,7.720,-5.364,0.000,2.202,17.064,1.571,0.128
0.840,-0.300,7.741,-5.193,0.000,2.101,17.041,1.571,0.123
0.850,-0.300,7.761,-5.023,0.000,2.000,17.018,1.571,0.117
0.860,-0.300,7.780,-4.853,0.000,1.899,16.995,1.571,0.111
0.870,-0.300,7.798,-4.683,0.000,1.799,16.972,1.571,0.106
0.880,-0.300,7.815,-4.514,0.000,1.699,16.949,1.571,0.100
0.890,-0.300,7.831,-4.345,0.000,1.599,16.926,1.571,0.094
0.900,-0.300,7.846,-4.176,0.000,1.499,16.903,1.571,0.088
0.910,-0.300,7.860,-4.007,0.000,1.399,16.880,1.571,0.083
0.920,-0.300,7.873,-3.838,0.000,1.299,16.858,1.571,0.077
0.930,-0.300,7.885,-3.670,0.000,1.200,16.835,1.571,0.071
0.940,-0.300,7.896,-3.502,0.000,1.100,16.813,1.571,0.065
0.950,-0.300,7.906,-3.334,0.000,1.001,16.790,1.571,0.060
0.960,-0.300,7.915,-3.166,0.000,0.902,16.768,1.571,0.054
0.970,-0.300,7.923,-2.999,0.000,0.803,16.746,1.571,0.048
0.980,-0.300,7.930,-2.832,0.000,0.704,16.723,1.571,0.042
0.990,-0.300,7.936,-2.665,0.000,0.605,16.701,1.571,0.036
1.000,-0.300,7.941,-2.498,0.000,0.506,16.679,1.571,0.030
1.010,-0.300,7.945,-2.331,0.000,0.408,16.657,1.571,0.024
1.020,-0.300,7.949,-2.165,0.000,0.309,16.635,1.571,0.019
1.030,-0.300,7.951,-1.999,0.000,0.211,16.613,1.571,0.013
1.040,-0.300,7.952,-1.833,0.000,0.113,16.591,1.571,0.007
1.050,-0.300,7.952,-1.667,0.000,0.015,16.570,1.571,0.001
1.060,-0.300,7.951,-1.502,0.000,-0.083,16.548,-1.571,-0.005
1.070,-0.300,7.949,-1.336,0.000,-0.180,16.526,-1.571,-0.011
1.080,-0.300,7.947,-1.171,0.000,-0.278,16.505,-1.571,-0.017
1.090,-0.300,7.943,-1.006,0.000,-0.376,16.483,-1.571,-0.023
1.100,-0.300,7.938,-0.842,0.000,-0.473,16.462,-1.571,-0.029
1.110,-0.300,7.932,-0.677,0.000,-0.570,16.440,-1.571,-0.035
1.120,-0.300,7.926,-0.513,0.000,-0.667,16.419,-1.571,-0.041
1.130,-0.300,7.918,-0.349,0.000,-0.764,16.398,-1.571,-0.047
1.140,-0.300,7.909,-0.186,0.000,-0.861,16.376,-1.571,-0.053
1.150,-0.300,7.900,-0.022,0.000,-0.958,16.355,-1.571,-0.058
1.160,-0.300,7.889,0.141,0.000,-1.054,16.334,-1.571,-0.064
1.170,-0.300,7.878,0.304,0.000,-1.151,16.313,-1.571,-0.070
1.180,-0.300,7.865,0.467,0.000,-1.247,16.292,-1.571,-0.076
1.190,-0.300,7.852,0.630,0.000,-1.343,16.271,-1.571,-0.082
1.200,-0.300,7.838,0.793,0.000,-1.439,16.250,-1.571,-0.088
